period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_beneficiaries,Total_SIPA_benefits,Total_non_moratorium_beneficiaries,Total_non_moratorium_benefits,Total_PUAM_benefits
62,0.3784334285219981,0.6036745112679611,0.01789206021004078,0.995095246486296,0.9952955949274127,0.9954636165016795,0.9957424625916358,0.42651247917614843,0.47451116677376626,0.24390743561497522,0.2753206431222378,0.5478716158876393,0.4956598428914272,0.020711151422508244,0.025124585262219192,5159.0179628919623,2208.9308626876677,2884.9627842306199,2622.8555326221735,3740.8516434123699,4428.820255333525,3321.9360631716036,0.5945464674819928,0.659781568092425,555.37615975189442,566.66314362870412,498.58636086397075,768.12265992176845,0.7584269129199865,0.5311518225819178,0.22727509033806875,0.30375500434567243,0.26900884276223003,0.28476553421134665,0.26264013352924598,0.30350577801732964,0.26840519188588191,0.28288559283208492,0.26045869373919633,4401506,5854484,2958970,3066001,76633
63,0.37513550382211813,0.6041920517496217,0.020672444428260238,0.9946558468850021,0.9951039413712225,0.9950502731887103,0.9955813829107236,0.42291983231493757,0.4705055923275405,0.2423353593482267,0.27297165614816865,0.5478761867813305,0.49571672323783633,0.023859827788734064,0.02888162580584566,4849.9273207837387,2084.9737880250705,2680.9658884782698,2440.9891494646467,3489.6594223555908,4133.8703978823087,3051.2364368308085,0.5806300840138665,0.6529015738916586,514.46114415375075,522.86151940617287,469.74124532313817,684.55827695855442,0.7475450444822485,0.5097022190156274,0.23784282546662103,0.31629502703304924,0.28281644738624601,0.29963008346983977,0.27789927387209429,0.31582664997809945,0.28204931181854909,0.29766532451052613,0.2757022950092865,4410192,5857854,2942012,3057358,88561
64,0.37240717143169666,0.6043030646960219,0.023289763872281426,0.9941360999188998,0.9944834198898957,0.9945916163465324,0.9950336487350746,0.4204596789980575,0.4695248250977111,0.24367681889269174,0.2738613040033858,0.5468816216599943,0.49259253605152015,0.02679479926084796,0.03236605874066454,4440.9980910242675,1918.8295263295968,2448.3268158990086,2248.3808926425277,3185.7551957217293,3777.9223712198141,2810.4761158031592,0.5632948247893054,0.6283105187813065,474.50445567505591,484.47703655840058,439.34482623418575,617.93776819989159,0.7524398168336974,0.5148189078918286,0.2376209089418688,0.31904335632251868,0.28086500047104734,0.30139177488091062,0.27626599224022719,0.31857775778429309,0.28009725515203449,0.29938851218391116,0.27415592488028906,4413876,5865398,2932013,3050569,99646
65,0.3747294625963355,0.6053232967048817,0.01994724069878273,0.9927194039078573,0.9927283376242388,0.993170843504493,0.9932728845525152,0.42288724136828304,0.472789530040571,0.2435977657204379,0.27616597816090366,0.5469827632154012,0.49237682518854214,0.02284939932417307,0.027561982395125695,4364.642994587477,1907.9718726276033,2405.2889982454094,2212.7436121647261,3135.675919169063,3725.3737269284575,2765.929515205908,0.5539022206987023,0.622895152911416,594.81779764700184,591.2900600100495,540.80852895780504,738.57307183333842,0.7369765777931009,0.49988629609083435,0.23709028170226662,0.32111344428380845,0.282486965384737,0.30352526961620152,0.27770920252511255,0.3206534183636211,0.28172781467559815,0.3016890523748984,0.27458704107012349,4433702,5891097,2944660,3070258,85741
66,0.37803250849102377,0.6027756480771581,0.0191918434318181,0.9922438719047074,0.9921369107097013,0.9926905295397844,0.9926758140255473,0.42704161298777044,0.4775405521563927,0.23977657626112228,0.2712360196104817,0.5433424018368334,0.48822190855122494,0.02185985708010359,0.026374450002083716,4416.9685120875019,1929.6297122651351,2393.1515254343494,2217.1522579845541,3154.8423872405742,3743.337188648974,2772.319489965575,0.5611565760067078,0.6275821279123017,513.13765002091452,527.01641670583831,431.93047073459491,767.2442089864636,0.7622975584435872,0.5277608627413112,0.23453669570227598,0.32553068590924222,0.28508880162446609,0.30849816244980399,0.27986838924279495,0.3250784976460912,0.28434042441634844,0.30659093628924811,0.27641808164025394,4458391,5906065,2958713,3087863,82906
67,0.3783003001386476,0.6014114130901123,0.02028828677124015,0.9916397168569464,0.9910256007341434,0.9921758028454516,0.9916720616982093,0.42719668205253436,0.47772239577113335,0.2368501912005277,0.26763515339698424,0.5414585760857696,0.4855864661181543,0.022984458718642423,0.027716738844855655,4541.8203679824173,1978.5007525228061,2427.7660871445596,2249.9369501289216,3223.9056075668586,3818.2047883865216,2816.9398836191676,0.5919954195005948,0.6567116227231744,506.3815661424623,515.6389714452979,434.38806660611715,718.43528610515682,0.7611019659650382,0.5134872131548501,0.24761475281018808,0.3228811252816573,0.28814314884543873,0.30742551099381216,0.28347618652242029,0.32241015872756734,0.28762516891263784,0.3053449996853041,0.27963841156527136,4493769,5935993,2967207,3099057,88193
68,0.380218832675562,0.5972787665685604,0.022502400755877672,0.9840295664184069,0.9906932830202337,0.9846352191600666,0.991360366327956,0.4268010789370859,0.4772422563890075,0.23220296280453212,0.2631693571008023,0.5319692207224901,0.4830141806684998,0.025259266758830837,0.03043684596272633,4475.2279257017999,1959.2230977797972,2395.7160911646051,2214.2007321618221,3182.3011220757262,3765.0322104118891,2767.7509152022772,0.6043616810468005,0.6683593297629454,518.50641284268704,528.34359224771617,427.90483826072762,788.94764086484145,0.7624330007407611,0.5283915678145666,0.23404143292619453,0.32357394211345097,0.2915609050178517,0.30309760039567973,0.28145581645943635,0.32050491328953568,0.28714193884714168,0.30114319809342865,0.27748502372794609,4486827,5916065,2956695,3088646,97550
69,0.38049285295200935,0.5949098452136156,0.024597301834375054,0.9790250771931199,0.9901299531395742,0.9801889039917661,0.9908391150155272,0.4240261394364541,0.4733448037944186,0.2345925729596162,0.2632792883854769,0.5275873875620587,0.48386083828507936,0.027411550194607105,0.03292431106007623,4867.3630385389915,2231.3190941050871,2913.1102630372352,2874.221467534665,3655.7329175363293,4316.1791652423626,3468.8678038658959,0.7069624351328164,0.7278491457640643,639.93529397646432,630.64391020497624,533.76423572480041,874.14800488114861,0.7491897027874224,0.511934409854721,0.2372552929327014,0.22059563472858842,0.18019068169958563,0.19594214977400395,0.16678648594857381,0.21545112022034787,0.17218742173153612,0.19328755358266037,0.16210551698147477,4486967,5917453,2958664,3098337,106318
70,0.3802824605125655,0.5919556440071411,0.02776189548029342,0.9738189936323327,0.9897614925250297,0.9752481247938753,0.9905141794422808,0.4204661730009781,0.4685345545020873,0.2356275197822042,0.26272458537729854,0.5226573793214433,0.48444170653256086,0.030695441309911333,0.036785231490381515,4646.4667434187349,2050.5085041740526,2614.638767898341,2332.3471039549268,3379.4703580981463,3981.8515321072691,2950.6385117847649,0.5268769344839443,0.6258821889216187,496.55477216903682,501.80401674154308,467.01590559892304,667.05438638842475,0.7134622410529999,0.5501779297952339,0.163284311257766,0.30241728064301343,0.27606806636302672,0.2744452667636314,0.25551491755827771,0.29564423158908876,0.26667594649690507,0.27202908043302043,0.25091643952318704,4488440,5916893,2958003,3098059,119785
71,0.3814091188684115,0.5898061523072723,0.028784728824316177,0.9662031269239271,0.98897399097975,0.9680977688246261,0.9897246575753622,0.4177922476209268,0.4664604247713239,0.23755602411742496,0.26410049560533866,0.5168803364875858,0.4846332330606922,0.03153054281541441,0.037880333147734,4628.730743430272,2062.1710209343269,2594.0666170970021,2311.8593490231574,3361.9828090311835,3970.9970266692799,2923.6338639332635,0.5584012962999731,0.6519041875200421,498.16417635697087,500.26769099091007,461.45798808241796,641.0207928268112,0.7194038033989936,0.5271905091266857,0.19221329427230782,0.30660382438225758,0.28253309740833432,0.27459802112717002,0.25710196524541334,0.29817470912452126,0.26897785288955744,0.27194297832075631,0.25185387195179126,4474966,5906140,2951290,3097497,123683
72,0.3837436133881864,0.5865204439589324,0.02973594265288117,0.9622877488560644,0.9892808084772371,0.9643381345724418,0.9900323170133438,0.4173935358006325,0.46595675529827313,0.23934337660111452,0.26345019377943485,0.5125507686012941,0.48444736067503924,0.03234344445413773,0.03887669250392465,4521.5271007570009,2034.9173670444527,2533.2365428933358,2252.9677336481559,3287.8962887944449,3887.4770234948337,2848.3608514755692,0.5541470286033693,0.6463931870049993,483.33409404949862,489.13522344008715,447.35005427916343,646.16395712944802,0.7422244456743103,0.5367760641444723,0.20544838152983802,0.31604222836956875,0.28711674067404314,0.27882418168444417,0.25848007074060658,0.30564021671808445,0.27135346716795461,0.27603882773355248,0.25301644340341445,4448689,5870535,2941317,3089089,126794
73,0.38396707265886304,0.5847894562490236,0.03124347109211336,0.9540855584150204,0.988516141443005,0.9566418710498037,0.9892758676737098,0.4129334288418763,0.46254969723570444,0.2413315496750272,0.2643850326627491,0.5075516607682298,0.48554663458933695,0.03360046880491435,0.04041980961796363,4361.1008362668872,1974.3643681792021,2447.2484598733431,2161.4750816993082,3173.1762020585047,3753.633039238563,2733.5006120388598,0.5489537183972597,0.6350731019333059,587.10183606555086,574.35132152798712,528.13544888391584,728.00485927063585,0.7397490120061108,0.526152618503529,0.21359639350258178,0.32282554835134003,0.29487291647737429,0.28298567659045759,0.26185231850306417,0.31084291277609483,0.27614623701691848,0.28036463424771679,0.25583196226114641,4446252,5869547,2939909,3094849,132795
74,0.38504771721656605,0.5816934924936971,0.033258790289736856,0.9464865037415109,0.9873591710836732,0.9491734642914506,0.9881135226586542,0.41040771170245466,0.4600254110097854,0.24081299533765843,0.264182323390762,0.500629512880947,0.4847098738455792,0.03544927915810915,0.042623886228308615,4453.2153295112394,2042.5831899506595,2480.2107349177745,2198.1247182822322,3230.529810452836,3829.8367693005712,2777.9953585558042,0.5684332717526087,0.6545238672949033,468.12781063791584,473.01276304057501,428.71866890787555,615.11096945233351,0.7598047468142111,0.5351405105906207,0.2246887958549928,0.32231300395273871,0.30021173415007424,0.28117317404731262,0.26263601841197093,0.30864339128697521,0.27763066219989435,0.27856416292290687,0.25579358798966811,4447283,5869593,2942876,3099241,141034
75,0.3850958606144779,0.5804081143078477,0.03449602507767437,0.9402256024414161,0.9868826721886124,0.943064114486736,0.9875392303261888,0.40710858442524706,0.45855247427377843,0.24271771427483121,0.26532768506864085,0.4966491424195289,0.48456246249904134,0.036467875596640095,0.04376773541579258,4540.8001468992179,2109.1547317015097,2519.3325239194114,2234.6549280018457,3287.9710924072979,3908.3069260162947,2825.5801686667469,0.5896315152899645,0.6718598512748517,478.52742774392948,482.59956349072019,436.24586995161167,618.98959185295257,0.7666131155751262,0.5296176308734332,0.23699548470169304,0.32475606780831751,0.30487871804117933,0.28324923599238155,0.26443687991492953,0.31035419549120707,0.27970905512799676,0.28047080848676537,0.25725789852286984,4436755,5860616,2939582,3099308,145524
76,0.38603963000567776,0.57895731686269,0.03500305313163223,0.93372258729513,0.9846733283422032,0.9377978990768218,0.9853252412122414,0.4047109795573037,0.4566310707706219,0.24457910407531178,0.26548741013800664,0.4923155827204185,0.484133253021331,0.03669602501740786,0.0439090045502503,4689.1968936913345,2197.7596156527311,2593.5680250490209,2295.4071018971176,3392.1272754940537,4038.7693817132094,2902.0619476527199,0.6005243565870431,0.6896970878081926,489.51039225443139,493.7290521879973,445.2183817706088,650.09813292961962,0.7754453963437276,0.5426932291236649,0.2327521672200627,0.32567942727582455,0.3104688806894757,0.2857994177924767,0.26816608561786565,0.31034202856752757,0.28312321634103121,0.28288565161324675,0.25935292136923593,4427484,5850493,2937861,3103637,147034
77,0.38664835256552416,0.5750584835065781,0.038293163927897764,0.9269141519828153,0.9843130204743737,0.9314525717546905,0.9849595734113027,0.40162760881110343,0.4529765277293612,0.24434889702676782,0.2638824511671865,0.48550985264626384,0.48377590469282516,0.03977669052544804,0.04756058805218746,4811.7676413876279,2269.0567269470607,2636.9823675648486,2347.9774903899684,3466.7925997345687,4134.0922308271856,2965.7386702379317,0.6100965228717736,0.7068456353683796,634.96728327641165,623.79545056655058,575.2779480161397,794.90741119377083,0.7719135243149604,0.5540323286210248,0.2178811956939356,0.32706527821019449,0.31534141087789297,0.28334036127922441,0.26908556364912556,0.30960062401562788,0.28504586778087321,0.28065461416291254,0.26032456092517919,4423790,5843382,2929890,3098998,160582
78,0.3884446634642208,0.5725242404367816,0.039031096098997575,0.9188793835624869,0.9838343135098024,0.9239622850531136,0.9845417982202882,0.39935894437537695,0.45058636592324247,0.24398690316465824,0.2625452462866637,0.4793926711881932,0.4851776202443845,0.040127767998916805,0.048070327342175465,4872.7209969412834,2327.8761811121112,2663.910425754997,2376.1689564050184,3510.6802397938013,4194.6143864223404,3000.8935548460463,0.6124702157035801,0.7143023193337611,507.83207558670324,514.3190678059824,470.956696656357,690.55209907754704,0.7696680664993544,0.5644784632298793,0.2051896032694751,0.32941605195149692,0.32131084279509892,0.28237725478590514,0.26986339652487323,0.31036088894070929,0.28720852478414233,0.27972141701280318,0.26078895433278432,4413166,5827255,2926968,3100183,163001
79,0.38785935835914076,0.5712435367158325,0.040897104925026746,0.9135927250867815,0.9847019816530811,0.9189133108202351,0.9854073835792782,0.39590295008024956,0.44611540834214963,0.24616629046611543,0.2645580667223774,0.47594452859025965,0.48860006974628467,0.041745246416272294,0.04998650356464675,4972.8048854753088,2382.2605580677568,2705.612872288757,2408.7759246490273,3572.824740007015,4276.3621664887814,3040.8167517897709,0.6209818100514657,0.7271024343194821,519.89695155165805,523.22278606480734,478.87041043234962,682.04774343871304,0.7716673583226885,0.5540478912683221,0.2176194670543664,0.3333023045503572,0.32625801876419158,0.28488710106127618,0.27074597572937448,0.31184376633710337,0.28929552050117302,0.28260321752113321,0.26232196482041709,4398794,5815918,2917493,3097168,169999
80,0.39020014905230155,0.5674845396851753,0.04231531126252319,0.9104774724134014,0.9858203247273066,0.9166712366865528,0.9866465664206842,0.39582876331344724,0.44599544587970774,0.24838466118525424,0.26511836708687986,0.47172300195466277,0.48858035777697434,0.04292570714529138,0.05124452107062452,5057.6917631144752,2441.6450473935729,2741.4275916438964,2442.1780786236009,3632.5713803076096,4350.9159630801687,3082.0810501919241,0.633007926559999,0.7418809810794527,523.8090900437337,530.17169994577921,485.75673492261728,695.51602230088292,0.7868029310948641,0.5689656602562381,0.217837270838626,0.33483123940178788,0.32881744535116864,0.28445823351790067,0.2707813826413874,0.31290769347367925,0.29004186366243823,0.2822059468993951,0.26343144883309921,4396310,5810144,2923034,3106118,175334
